file_name,file_size,num_sections,num_segments,has_dwarf_info,dwarf_info_config_machine_arch,dwarf_info_config_default_address_size,dwarf_info_config_little_endian,dwarf_info_debug_info_sec_name,dwarf_info_debug_info_sec_global_offset,dwarf_info_debug_info_sec_size,dwarf_info_debug_info_sec_address,dwarf_info_debug_aranges_sec_name,dwarf_info_debug_aranges_sec_global_offset,dwarf_info_debug_aranges_sec_size,dwarf_info_debug_aranges_sec_address,dwarf_info_debug_abbrev_sec_name,dwarf_info_debug_abbrev_sec_global_offset,dwarf_info_debug_abbrev_sec_size,dwarf_info_debug_abbrev_sec_address,dwarf_info_debug_frame_sec_name,dwarf_info_debug_frame_sec_global_offset,dwarf_info_debug_frame_sec_size,dwarf_info_debug_frame_sec_address,dwarf_info_debug_str_sec_name,dwarf_info_debug_str_sec_global_offset,dwarf_info_debug_str_sec_size,dwarf_info_debug_str_sec_address,dwarf_info_debug_loc_sec_name,dwarf_info_debug_loc_sec_global_offset,dwarf_info_debug_loc_sec_size,dwarf_info_debug_loc_sec_address,dwarf_info_debug_ranges_sec_name,dwarf_info_debug_ranges_sec_global_offset,dwarf_info_debug_ranges_sec_size,dwarf_info_debug_ranges_sec_address,dwarf_info_debug_line_sec_name,dwarf_info_debug_line_sec_global_offset,dwarf_info_debug_line_sec_size,dwarf_info_debug_line_sec_address,dwarf_info_debug_pubtypes_sec_name,dwarf_info_debug_pubtypes_sec_global_offset,dwarf_info_debug_pubtypes_sec_size,dwarf_info_debug_pubtypes_sec_address,dwarf_info_debug_pubnames_sec_name,dwarf_info_debug_pubnames_sec_global_offset,dwarf_info_debug_pubnames_sec_size,dwarf_info_debug_pubnames_sec_address,has_ehabi_info,ehabi_infos,machine_arch,shstrndx,sec_header_sh_name,sec_header_sh_type,sec_header_sh_flags,sec_header_sh_addr,sec_header_sh_offset,sec_header_sh_size,sec_header_sh_link,sec_header_sh_info,sec_header_sh_addralign,sec_header_sh_entsize,elf_head_ident_EI_CLASS,elf_head_ident_EI_DATA,elf_head_ident_EI_OSABI,elf_head_ident_EI_ABIVERSION,elf_head_e_type,elf_head_e_machine,elf_head_e_entry,elf_head_e_phoff,elf_head_e_shoff,elf_head_e_flags,elf_head_e_ehsize,elf_head_e_phentsize,elf_head_e_phnum,elf_head_e_shentsize,elf_head_e_shnum,elf_head_e_shstrndx,seg0_head_p_type,seg0_PT_LOAD_p_offset,seg0_PT_LOAD_p_filesz,seg0_PT_LOAD_p_memsz,seg0_PT_LOAD_p_flags,seg0_PT_LOAD_p_align,seg0_PT_LOAD_p_vaddr,seg0_PT_LOAD_p_paddr,seg1_head_p_type,seg1_PT_LOAD_p_offset,seg1_PT_LOAD_p_filesz,seg1_PT_LOAD_p_memsz,seg1_PT_LOAD_p_flags,seg1_PT_LOAD_p_align,seg1_PT_LOAD_p_vaddr,seg1_PT_LOAD_p_paddr,seg2_head_p_type,seg2_PT_GNU_STACK_p_offset,seg2_PT_GNU_STACK_p_filesz,seg2_PT_GNU_STACK_p_memsz,seg2_PT_GNU_STACK_p_flags,seg2_PT_GNU_STACK_p_align,seg2_PT_GNU_STACK_p_vaddr,seg2_PT_GNU_STACK_p_paddr,section__sh_name,section__sh_type,section__sh_flags,section__sh_addr,section__sh_offset,section__sh_size,section__sh_link,section__sh_info,section__sh_addralign,section__sh_entsize,section_init,section_init_sh_name,section_init_sh_type,section_init_sh_flags,section_init_sh_addr,section_init_sh_offset,section_init_sh_size,section_init_sh_link,section_init_sh_info,section_init_sh_addralign,section_init_sh_entsize,section_text,section_text_sh_name,section_text_sh_type,section_text_sh_flags,section_text_sh_addr,section_text_sh_offset,section_text_sh_size,section_text_sh_link,section_text_sh_info,section_text_sh_addralign,section_text_sh_entsize,section_fini,section_fini_sh_name,section_fini_sh_type,section_fini_sh_flags,section_fini_sh_addr,section_fini_sh_offset,section_fini_sh_size,section_fini_sh_link,section_fini_sh_info,section_fini_sh_addralign,section_fini_sh_entsize,section_rodata,section_rodata_sh_name,section_rodata_sh_type,section_rodata_sh_flags,section_rodata_sh_addr,section_rodata_sh_offset,section_rodata_sh_size,section_rodata_sh_link,section_rodata_sh_info,section_rodata_sh_addralign,section_rodata_sh_entsize,section_ctors,section_ctors_sh_name,section_ctors_sh_type,section_ctors_sh_flags,section_ctors_sh_addr,section_ctors_sh_offset,section_ctors_sh_size,section_ctors_sh_link,section_ctors_sh_info,section_ctors_sh_addralign,section_ctors_sh_entsize,section_dtors,section_dtors_sh_name,section_dtors_sh_type,section_dtors_sh_flags,section_dtors_sh_addr,section_dtors_sh_offset,section_dtors_sh_size,section_dtors_sh_link,section_dtors_sh_info,section_dtors_sh_addralign,section_dtors_sh_entsize,section_data,section_data_sh_name,section_data_sh_type,section_data_sh_flags,section_data_sh_addr,section_data_sh_offset,section_data_sh_size,section_data_sh_link,section_data_sh_info,section_data_sh_addralign,section_data_sh_entsize,section_bss,section_bss_sh_name,section_bss_sh_type,section_bss_sh_flags,section_bss_sh_addr,section_bss_sh_offset,section_bss_sh_size,section_bss_sh_link,section_bss_sh_info,section_bss_sh_addralign,section_bss_sh_entsize,section_shstrtab,section_shstrtab_sh_name,section_shstrtab_sh_type,section_shstrtab_sh_flags,section_shstrtab_sh_addr,section_shstrtab_sh_offset,section_shstrtab_sh_size,section_shstrtab_sh_link,section_shstrtab_sh_info,section_shstrtab_sh_addralign,section_shstrtab_sh_entsize,type
backdoor_1,12957,35,8,1,10,4,1,1,7077,401,0,1,6952,88,0,1,7478,98,0,0,0,0,1,1,7887,165,0,0,0,0,1,0,0,,1,1,7576,311,0,0,0,0,1,1,7040,37,0,0,0,10,32,17,2,0,0,8052,306,0,0,1,0,1,1,4,0,1,2,134514912,52,8360,0,52,32,8,40,35,32,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,6,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,128,1,6,134514416,1776,23,0,0,4,0,1,134,1,6,134514912,2272,3084,0,0,16,0,1,140,1,6,134517996,5356,28,0,0,4,0,1,146,1,2,134518024,5384,917,0,0,4,0,1,164,1,3,134523044,6308,8,0,0,4,0,1,171,1,3,134523052,6316,8,0,0,4,0,1,206,1,3,134523392,6656,12,0,0,4,0,1,212,2,3,134523424,6668,1048608,0,0,32,0,1,17,1,0,0,8052,306,0,0,1,0,backdoor
backdoor_10,1135000,28,5,1,10,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,10,25,17,2,0,0,895274,294,0,0,1,0,1,1,4,0,1,2,134512928,52,895568,0,52,32,5,40,28,25,2,0,881251,881251,5,4096,134512640,134512640,2,884736,7028,40588,6,4096,135397376,135397376,7,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,41,1,6,134512884,244,23,0,0,4,0,1,47,1,6,134512928,288,689984,0,0,32,0,1,96,1,6,135207092,694452,26,0,0,4,0,1,102,1,2,135207136,694496,110682,0,0,32,0,1,208,1,3,135397396,884756,40,0,0,4,0,1,215,1,3,135397436,884796,12,0,0,4,0,1,254,1,3,135399200,886560,5204,0,0,32,0,1,260,2,3,135404416,891764,33524,0,0,32,0,1,17,1,0,0,895274,294,0,0,1,0,backdoor
backdoor_100,13975,34,6,1,10,4,1,1,4133,2520,0,1,4008,88,0,1,6653,292,0,1,7456,20,0,1,7476,1711,0,0,0,0,1,0,0,,1,1,6945,511,0,0,0,0,1,1,4096,37,0,0,0,10,31,17,2,0,0,9187,299,0,0,1,0,1,1,4,0,1,2,134514016,52,9488,0,52,32,6,40,34,31,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,6,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,117,1,6,134513728,1088,23,0,0,4,0,1,123,1,6,134514016,1376,996,0,0,16,0,1,129,1,6,134515012,2372,27,0,0,4,0,1,135,1,2,134515040,2400,991,0,0,32,0,1,168,1,3,134520344,3608,8,0,0,4,0,1,175,1,3,134520352,3616,8,0,0,4,0,1,153,1,3,134520132,3396,12,0,0,4,0,1,192,2,3,134520440,3704,4,0,0,4,0,1,17,1,0,0,9187,299,0,0,1,0,backdoor
backdoor_101,1223123,28,5,1,10,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,10,25,17,2,0,0,965182,294,0,0,1,0,1,1,4,0,1,2,134512928,52,965476,0,52,32,5,40,28,25,2,0,952079,952079,5,4096,134512640,134512640,2,954368,7124,40716,6,4096,135467008,135467008,7,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,41,1,6,134512884,244,23,0,0,4,0,1,47,1,6,134512928,288,744640,0,0,32,0,1,96,1,6,135261748,749108,26,0,0,4,0,1,102,1,2,135261792,749152,120986,0,0,32,0,1,208,1,3,135467028,954388,40,0,0,4,0,1,215,1,3,135467068,954428,12,0,0,4,0,1,254,1,3,135468832,956192,5300,0,0,32,0,1,260,2,3,135474144,961492,33556,0,0,32,0,1,17,1,0,0,965182,294,0,0,1,0,backdoor
backdoor_102,55680,10,3,0,10,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,10,9,1,2,0,0,55216,62,0,0,1,0,1,1,4,0,1,2,134512996,52,55280,0,52,32,3,40,10,9,2,0,55072,55072,5,4096,134512640,134512640,2,55076,140,1916,6,4096,134571812,134571812,4,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,1,11,1,6,134512788,148,28,0,0,1,0,1,17,1,6,134512816,176,51558,0,0,16,0,1,23,1,6,134564374,51734,23,0,0,1,0,1,29,1,2,134564416,51776,3296,0,0,32,0,1,37,1,3,134571812,55076,8,0,0,4,0,1,44,1,3,134571820,55084,8,0,0,4,0,1,51,1,3,134571844,55108,108,0,0,4,0,1,57,2,3,134571968,55216,1760,0,0,32,0,1,1,1,0,0,55216,62,0,0,1,0,backdoor
backdoor_103,55840,10,3,0,10,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,10,9,1,2,0,0,55376,62,0,0,1,0,1,1,4,0,1,2,134512996,52,55440,0,52,32,3,40,10,9,2,0,55232,55232,5,4096,134512640,134512640,2,55236,140,1884,6,4096,134571972,134571972,4,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,1,11,1,6,134512788,148,28,0,0,1,0,1,17,1,6,134512816,176,51702,0,0,16,0,1,23,1,6,134564518,51878,23,0,0,1,0,1,29,1,2,134564544,51904,3328,0,0,32,0,1,37,1,3,134571972,55236,8,0,0,4,0,1,44,1,3,134571980,55244,8,0,0,4,0,1,51,1,3,134572004,55268,108,0,0,4,0,1,57,2,3,134572128,55376,1728,0,0,32,0,1,1,1,0,0,55376,62,0,0,1,0,backdoor
backdoor_104,35040,0,2,0,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1179403647,50397441,0,0,2621442,1,141080,52,0,83886594,1,1,3,0,1,4,141080,52,0,83886594,52,32,2,40,0,0,2,0,79849,79849,5,65536,65536,65536,2,1788,0,0,6,65536,329468,329468,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,5,1,1,0,2,0,0,0,1,1,0,0,1,1,2,1,backdoor
backdoor_105,55904,10,3,0,10,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,10,9,1,2,0,0,55440,62,0,0,1,0,1,1,4,0,1,2,134512996,52,55504,0,52,32,3,40,10,9,2,0,55296,55296,5,4096,134512640,134512640,2,55300,140,1884,6,4096,134572036,134572036,4,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,1,11,1,6,134512788,148,28,0,0,1,0,1,17,1,6,134512816,176,51702,0,0,16,0,1,23,1,6,134564518,51878,23,0,0,1,0,1,29,1,2,134564544,51904,3392,0,0,32,0,1,37,1,3,134572036,55300,8,0,0,4,0,1,44,1,3,134572044,55308,8,0,0,4,0,1,51,1,3,134572068,55332,108,0,0,4,0,1,57,2,3,134572192,55440,1728,0,0,32,0,1,1,1,0,0,55440,62,0,0,1,0,backdoor
backdoor_106,25172,10,3,0,10,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,10,9,1,2,0,0,24708,62,0,0,1,0,1,1,4,0,1,2,134512996,52,24772,0,52,32,3,40,10,9,2,0,23350,23350,5,4096,134512640,134512640,2,24576,132,1600,6,4096,134537216,134537216,4,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,1,11,1,6,134512788,148,28,0,0,1,0,1,17,1,6,134512816,176,22102,0,0,16,0,1,23,1,6,134534918,22278,23,0,0,1,0,1,29,1,2,134534944,22304,1046,0,0,4,0,1,37,1,3,134537216,24576,8,0,0,4,0,1,44,1,3,134537224,24584,8,0,0,4,0,1,51,1,3,134537248,24608,100,0,0,4,0,1,57,2,3,134537376,24708,1440,0,0,32,0,1,1,1,0,0,24708,62,0,0,1,0,backdoor
backdoor_107,1521642,31,3,1,10,4,1,1,1174733,2692,0,1,1174576,120,0,1,1177425,312,0,1,1178376,20,0,1,1178396,1722,0,0,0,0,1,0,0,,1,1,1177737,636,0,0,0,0,1,1,1174696,37,0,0,0,10,28,17,2,0,0,1180118,352,0,0,1,0,1,1,4,0,1,2,134512864,52,1180472,0,52,32,3,40,31,28,2,0,1140968,1140968,5,4096,134512640,134512640,2,1142784,27176,314708,6,4096,135655424,135655424,7,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,27,1,6,134512820,180,23,0,0,4,0,1,33,1,6,134512864,224,912193,0,0,32,0,1,82,1,6,135426888,914248,27,0,0,4,0,1,88,1,2,135426944,914304,103390,0,0,32,0,1,187,1,3,135682440,1169800,64,0,0,4,0,1,194,1,3,135682504,1169864,8,0,0,4,0,1,181,1,3,135655424,1142784,27016,0,0,32,0,1,211,2,3,135682624,1169984,287488,0,0,32,0,1,17,1,0,0,1180118,352,0,0,1,0,backdoor
